book_authors,book_title,genres,comb
Jodi Picoult,my sister's keeper,Fiction Contemporary Womens Fiction Chick Lit,Jodi Picoult my sister's keeper Fiction Contemporary Womens Fiction Chick Lit
Ken Kesey,one flew over the cuckoo's nest,Classics Fiction Literature Psychology,Ken Kesey one flew over the cuckoo's nest Classics Fiction Literature Psychology
Sylvia Plath Reinhard Kaiser,the bell jar,Classics Fiction Feminism Psychology Mental Health Mental Illness Literature Health Mental Health Novels Poetry Literature American,Sylvia Plath Reinhard Kaiser the bell jar Classics Fiction Feminism Psychology Mental Health Mental Illness Literature Health Mental Health Novels Poetry Literature American
Diana Gabaldon,outlander,Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical Romance Historical Romance,Diana Gabaldon outlander Historical Historical Fiction Romance Fantasy Fiction Science Fiction Time Travel Historical Romance Historical Romance
Stieg Larsson Reg Keeland,the girl with the dragon tattoo,Fiction Mystery Thriller Mystery Crime,Stieg Larsson Reg Keeland the girl with the dragon tattoo Fiction Mystery Thriller Mystery Crime
Daphne du Maurier,rebecca,Classics Fiction Mystery Romance Gothic,Daphne du Maurier rebecca Classics Fiction Mystery Romance Gothic
Betty  Smith,a tree grows in brooklyn,Classics Fiction Historical Historical Fiction Young Adult,Betty  Smith a tree grows in brooklyn Classics Fiction Historical Historical Fiction Young Adult
Roald Dahl Quentin Blake,matilda,Childrens Fiction Fantasy Classics,Roald Dahl Quentin Blake matilda Childrens Fiction Fantasy Classics
Alice Walker,the color purple,Classics Fiction Historical Historical Fiction Feminism,Alice Walker the color purple Classics Fiction Historical Historical Fiction Feminism
J.R.R. Tolkien,the fellowship of the ring,Fantasy Classics Fiction Adventure,J.R.R. Tolkien the fellowship of the ring Fantasy Classics Fiction Adventure
Louisa May Alcott,little women,Classics Fiction Historical Historical Fiction Young Adult,Louisa May Alcott little women Classics Fiction Historical Historical Fiction Young Adult
Cormac McCarthy,the road,Fiction Science Fiction Science Fiction Dystopia Apocalyptic Post Apocalyptic,Cormac McCarthy the road Fiction Science Fiction Science Fiction Dystopia Apocalyptic Post Apocalyptic
Frank McCourt,angela's ashes,Nonfiction Autobiography Memoir Biography,Frank McCourt angela's ashes Nonfiction Autobiography Memoir Biography
Anthony Burgess,a clockwork orange,Classics Fiction Science Fiction Science Fiction Dystopia,Anthony Burgess a clockwork orange Classics Fiction Science Fiction Science Fiction Dystopia
Fyodor Dostoyevsky Richard Pevear Larissa Volokhonsky,the brothers karamazov,Classics Fiction Cultural Russia Literature Literature Russian Literature,Fyodor Dostoyevsky Richard Pevear Larissa Volokhonsky the brothers karamazov Classics Fiction Cultural Russia Literature Literature Russian Literature
Frank Herbert,dune,Science Fiction Fiction Fantasy Classics,Frank Herbert dune Science Fiction Fiction Fantasy Classics
Richelle Mead,vampire academy,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Richelle Mead vampire academy Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
Barbara Kingsolver,the poisonwood bible,Fiction Historical Historical Fiction Cultural Africa Classics,Barbara Kingsolver the poisonwood bible Fiction Historical Historical Fiction Cultural Africa Classics
Hermann Hesse Hilda Rosner,siddhartha,Classics Fiction Philosophy Religion Literature Spirituality,Hermann Hesse Hilda Rosner siddhartha Classics Fiction Philosophy Religion Literature Spirituality
Ayn Rand Leonard Peikoff,atlas shrugged,Fiction Classics Philosophy Literature Politics,Ayn Rand Leonard Peikoff atlas shrugged Fiction Classics Philosophy Literature Politics
J.K. Rowling Mary GrandPré,harry potter and the deathly hallows,Fantasy Young Adult Fiction,J.K. Rowling Mary GrandPré harry potter and the deathly hallows Fantasy Young Adult Fiction
Miguel de Cervantes Saavedra Roberto González Echevarría John Rutherford Ernani Ssó,don quixote,Classics Fiction Literature European Literature Spanish Literature,Miguel de Cervantes Saavedra Roberto González Echevarría John Rutherford Ernani Ssó don quixote Classics Fiction Literature European Literature Spanish Literature
Philip Pullman,the golden compass,Fantasy Young Adult Fiction,Philip Pullman the golden compass Fantasy Young Adult Fiction
Ray Bradbury,fahrenheit 451,Classics Fiction Science Fiction Science Fiction Dystopia,Ray Bradbury fahrenheit 451 Classics Fiction Science Fiction Science Fiction Dystopia
Nicholas Sparks,the notebook,Romance Fiction Womens Fiction Chick Lit Contemporary,Nicholas Sparks the notebook Romance Fiction Womens Fiction Chick Lit Contemporary
Ernest Hemingway,the old man and the sea,Classics Fiction Literature Novels Literature American Academic School Adventure Classics Classic Literature Literature 20th Century Literary Fiction,Ernest Hemingway the old man and the sea Classics Fiction Literature Novels Literature American Academic School Adventure Classics Classic Literature Literature 20th Century Literary Fiction
Charles Dickens,great expectations,Classics Fiction Literature Historical Historical Fiction,Charles Dickens great expectations Classics Fiction Literature Historical Historical Fiction
Edgar Allan Poe,the complete stories and poems,Classics Poetry Horror Fiction Short Stories,Edgar Allan Poe the complete stories and poems Classics Poetry Horror Fiction Short Stories
John Irving,a prayer for owen meany,Fiction Classics Literature Contemporary,John Irving a prayer for owen meany Fiction Classics Literature Contemporary
A.A. Milne Ernest H. Shepard,winnie-the-pooh,Classics Childrens Fiction,A.A. Milne Ernest H. Shepard winnie-the-pooh Classics Childrens Fiction
Leo Tolstoy Richard Pevear Larissa Volokhonsky,anna karenina,Classics Fiction Cultural Russia Romance,Leo Tolstoy Richard Pevear Larissa Volokhonsky anna karenina Classics Fiction Cultural Russia Romance
Herman Melville Andrew Delbanco Tom Quirk,"moby-dick or, the whale",Classics Fiction Literature Adventure,"Herman Melville Andrew Delbanco Tom Quirk moby-dick or, the whale Classics Fiction Literature Adventure"
Anne Rice,interview with the vampire,Horror Fantasy Fiction Paranormal Vampires Fantasy Paranormal,Anne Rice interview with the vampire Horror Fantasy Fiction Paranormal Vampires Fantasy Paranormal
George Orwell Erich Fromm,1984,Classics Fiction Science Fiction Science Fiction Dystopia,George Orwell Erich Fromm 1984 Classics Fiction Science Fiction Science Fiction Dystopia
Anita Diamant,the red tent,Historical Historical Fiction Fiction Christian Literature,Anita Diamant the red tent Historical Historical Fiction Fiction Christian Literature
Sue Monk Kidd,the secret life of bees,Fiction Historical Historical Fiction Young Adult Adult Fiction,Sue Monk Kidd the secret life of bees Fiction Historical Historical Fiction Young Adult Adult Fiction
J.K. Rowling Mary GrandPré,harry potter and the prisoner of azkaban,Fantasy Young Adult Fiction,J.K. Rowling Mary GrandPré harry potter and the prisoner of azkaban Fantasy Young Adult Fiction
Cassandra Clare,clockwork angel,Fantasy Young Adult Fantasy Paranormal Science Fiction Steampunk Romance,Cassandra Clare clockwork angel Fantasy Young Adult Fantasy Paranormal Science Fiction Steampunk Romance
Jeffrey Eugenides,middlesex,Fiction Historical Historical Fiction Contemporary,Jeffrey Eugenides middlesex Fiction Historical Historical Fiction Contemporary
Charles Dickens Marisa Sestino,great expectations,Classics Fiction Literature Historical Historical Fiction,Charles Dickens Marisa Sestino great expectations Classics Fiction Literature Historical Historical Fiction
Mark Twain Guy Cardwell John Seelye,the adventures of tom sawyer,Classics Fiction Adventure Young Adult Historical Historical Fiction Literature Childrens Academic School Novels Literature American,Mark Twain Guy Cardwell John Seelye the adventures of tom sawyer Classics Fiction Adventure Young Adult Historical Historical Fiction Literature Childrens Academic School Novels Literature American
Albert Camus Matthew    Ward,the stranger,Classics Fiction Philosophy Cultural France Literature Novels European Literature French Literature Academic School Literature 20th Century Academic Read For School,Albert Camus Matthew    Ward the stranger Classics Fiction Philosophy Cultural France Literature Novels European Literature French Literature Academic School Literature 20th Century Academic Read For School
Agatha Christie,and then there were none,Mystery Classics Fiction Mystery Crime Thriller,Agatha Christie and then there were none Mystery Classics Fiction Mystery Crime Thriller
Mikhail Bulgakov Katherine Tiernan O'Connor Ellendea Proffer Diana Burgin,the master and margarita,Fiction Classics Cultural Russia Fantasy Literature Russian Literature Magical Realism,Mikhail Bulgakov Katherine Tiernan O'Connor Ellendea Proffer Diana Burgin the master and margarita Fiction Classics Cultural Russia Fantasy Literature Russian Literature Magical Realism
Roald Dahl Quentin Blake,charlie and the chocolate factory,Childrens Fantasy Fiction Classics,Roald Dahl Quentin Blake charlie and the chocolate factory Childrens Fantasy Fiction Classics
J.K. Rowling Mary GrandPré,harry potter and the goblet of fire,Fantasy Young Adult Fiction,J.K. Rowling Mary GrandPré harry potter and the goblet of fire Fantasy Young Adult Fiction
Stephen King,the shining,Horror Fiction Thriller,Stephen King the shining Horror Fiction Thriller
Jack Kerouac,on the road,Classics Fiction Travel Literature,Jack Kerouac on the road Classics Fiction Travel Literature
Christopher Paolini,eragon,Fantasy Young Adult Fiction Fantasy Dragons,Christopher Paolini eragon Fantasy Young Adult Fiction Fantasy Dragons
Eric Carle,the very hungry caterpillar,Childrens Picture Books Childrens,Eric Carle the very hungry caterpillar Childrens Picture Books Childrens
Mitch Albom Saulius Dagys,tuesdays with morrie,Nonfiction Autobiography Memoir Biography Inspirational,Mitch Albom Saulius Dagys tuesdays with morrie Nonfiction Autobiography Memoir Biography Inspirational
Daniel Keyes,flowers for algernon,Fiction Classics Science Fiction Young Adult,Daniel Keyes flowers for algernon Fiction Classics Science Fiction Young Adult
Carlos Ruiz Zafón Lucia Graves,the shadow of the wind,Fiction Historical Historical Fiction Mystery Fantasy,Carlos Ruiz Zafón Lucia Graves the shadow of the wind Fiction Historical Historical Fiction Mystery Fantasy
Patrick Rothfuss,the name of the wind,Fantasy Fiction Fantasy Epic Fantasy,Patrick Rothfuss the name of the wind Fantasy Fiction Fantasy Epic Fantasy
John Green,looking for alaska,Young Adult Fiction Contemporary Romance,John Green looking for alaska Young Adult Fiction Contemporary Romance
Mark Haddon,the curious incident of the dog in the night-time,Fiction Mystery Young Adult Contemporary,Mark Haddon the curious incident of the dog in the night-time Fiction Mystery Young Adult Contemporary
Milan Kundera Michael Henry Heim 千野栄一,the unbearable lightness of being,Fiction Classics Philosophy Literature Novels,Milan Kundera Michael Henry Heim 千野栄一 the unbearable lightness of being Fiction Classics Philosophy Literature Novels
Franz Kafka Stanley Corngold,the metamorphosis,Classics Fiction Fantasy Literature Short Stories Philosophy,Franz Kafka Stanley Corngold the metamorphosis Classics Fiction Fantasy Literature Short Stories Philosophy
Umberto Eco William Weaver Seán Barrett,the name of the rose,Fiction Historical Historical Fiction Mystery Classics Historical Literature,Umberto Eco William Weaver Seán Barrett the name of the rose Fiction Historical Historical Fiction Mystery Classics Historical Literature
Nathaniel Hawthorne Thomas E. Connolly Nina Baym,the scarlet letter,Classics Fiction Historical Historical Fiction Academic School,Nathaniel Hawthorne Thomas E. Connolly Nina Baym the scarlet letter Classics Fiction Historical Historical Fiction Academic School
J.K. Rowling Mary GrandPré,harry potter and the half-blood prince,Fantasy Young Adult Fiction,J.K. Rowling Mary GrandPré harry potter and the half-blood prince Fantasy Young Adult Fiction
Becca Fitzpatrick,"hush, hush",Young Adult Fantasy Fantasy Paranormal Paranormal Angels Romance,"Becca Fitzpatrick hush, hush Young Adult Fantasy Fantasy Paranormal Paranormal Angels Romance"
Mitch Albom,the five people you meet in heaven,Fiction Inspirational Contemporary Fantasy,Mitch Albom the five people you meet in heaven Fiction Inspirational Contemporary Fantasy
Mario Puzo Robert Thompson Peter Bart,the godfather,Fiction Classics Mystery Crime Thriller Historical Historical Fiction,Mario Puzo Robert Thompson Peter Bart the godfather Fiction Classics Mystery Crime Thriller Historical Historical Fiction
Truman Capote,in cold blood,Nonfiction Classics Crime True Crime Mystery Crime Mystery,Truman Capote in cold blood Nonfiction Classics Crime True Crime Mystery Crime Mystery
Leo Tolstoy Aylmer Maude Louise Maude,anna karenina,Classics Fiction Cultural Russia Romance,Leo Tolstoy Aylmer Maude Louise Maude anna karenina Classics Fiction Cultural Russia Romance
Larry McMurtry,lonesome dove,Fiction Historical Historical Fiction Westerns Classics Historical,Larry McMurtry lonesome dove Fiction Historical Historical Fiction Westerns Classics Historical
Dr. Seuss,the cat in the hat,Childrens Childrens Picture Books Classics Fiction,Dr. Seuss the cat in the hat Childrens Childrens Picture Books Classics Fiction
Chuck Palahniuk,fight club,Fiction Contemporary Classics Thriller,Chuck Palahniuk fight club Fiction Contemporary Classics Thriller
Louis Sachar,holes,Young Adult Fiction Childrens Childrens Middle Grade,Louis Sachar holes Young Adult Fiction Childrens Childrens Middle Grade
Frank Herbert,dune,Science Fiction Fiction Fantasy Classics,Frank Herbert dune Science Fiction Fiction Fantasy Classics
Laura Ingalls Wilder Garth Williams,the little house collection,Classics Childrens Historical Historical Fiction Fiction Young Adult,Laura Ingalls Wilder Garth Williams the little house collection Classics Childrens Historical Historical Fiction Fiction Young Adult
Neil Gaiman,american gods,Fantasy Fiction Fantasy Urban Fantasy Fantasy Mythology Science Fiction,Neil Gaiman american gods Fantasy Fiction Fantasy Urban Fantasy Fantasy Mythology Science Fiction
Alan Moore Dave Gibbons John Higgins,watchmen,Sequential Art Graphic Novels Sequential Art Comics Fiction Science Fiction Fantasy,Alan Moore Dave Gibbons John Higgins watchmen Sequential Art Graphic Novels Sequential Art Comics Fiction Science Fiction Fantasy
Dante Alighieri Allen Mandelbaum Eugenio Montale,the divine comedy,Classics Poetry Fiction Literature,Dante Alighieri Allen Mandelbaum Eugenio Montale the divine comedy Classics Poetry Fiction Literature
Reduced Shakespeare Company Jess Borgeson Adam Long Daniel Singer Jess Winfield,the compleat works of wllm shkspr (abridged),Plays Classics Humor Fiction Drama Plays Theatre,Reduced Shakespeare Company Jess Borgeson Adam Long Daniel Singer Jess Winfield the compleat works of wllm shkspr (abridged) Plays Classics Humor Fiction Drama Plays Theatre
J.M. Barrie Michael Hague,peter pan,Classics Fantasy Fiction Childrens,J.M. Barrie Michael Hague peter pan Classics Fantasy Fiction Childrens
Patrick Süskind John E. Woods,perfume: the story of a murderer,Fiction Historical Historical Fiction Classics Horror Mystery,Patrick Süskind John E. Woods perfume: the story of a murderer Fiction Historical Historical Fiction Classics Horror Mystery
Erich Maria Remarque A.W. Wheen,all quiet on the western front,Classics Fiction Historical Historical Fiction War Literature,Erich Maria Remarque A.W. Wheen all quiet on the western front Classics Fiction Historical Historical Fiction War Literature
C.S. Lewis,"the lion, the witch and the wardrobe",Fantasy Classics Fiction Young Adult Childrens,"C.S. Lewis the lion, the witch and the wardrobe Fantasy Classics Fiction Young Adult Childrens"
Richelle Mead,shadow kiss,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Richelle Mead shadow kiss Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
Alexandre Dumas Robin Buss,the count of monte cristo,Classics Fiction Historical Historical Fiction Adventure Literature Cultural France Historical Classics Classic Literature Novels Romance,Alexandre Dumas Robin Buss the count of monte cristo Classics Fiction Historical Historical Fiction Adventure Literature Cultural France Historical Classics Classic Literature Novels Romance
Stephen King,it,Horror Fiction Fantasy,Stephen King it Horror Fiction Fantasy
Rick Riordan,the last olympian,Fantasy Young Adult Fantasy Mythology,Rick Riordan the last olympian Fantasy Young Adult Fantasy Mythology
